agy_code,AgencyName,longitude,latitude,Hydrologic_Region,est_perc_u10,est_perc_o75,est_med_income,DAC_dummy
1060,California-American Water Company Los Angeles District,-118.0702,34.10154,South Coast,11,8,73345,0
1347,Sonoma  City of,-122.4557,38.29056,San Francisco Bay,9,10,74022,0
1197,Lincoln  City of,-121.2944,38.87545,Sacramento River,13,10,74482,0
1108,"East Palo Alto, City of",-122.1363,37.46788,San Francisco Bay,16,3,74485,0
1222,Mesa Water District,-117.9121,33.66591,South Coast,12,4,74507,0
1289,Redlands  City of,-117.1712,34.05079,South Coast,13,6,74599,0
1315,San Diego  City of,-117.1233,32.85236,South Coast,12,5,75023,0
1148,Golden State Water Company Orcutt,-120.4269,34.8741,Central Coast,12,10,75069,0
1075,Chino  City of,-117.6805,34.00197,South Coast,13,3,75213,0
1145,Golden State Water Company Culver City,-118.3936,34.00633,South Coast,10,6,75339,0
1284,Rainbow Municipal Water District,-117.1667,33.34208,South Coast,10,9,75370,0
1008,Antioch  City of,-121.7958,37.98,San Joaquin River,14,4,75784,0
1055,California Water Service Company South San Francisco,-122.4294,37.66341,San Francisco Bay,12,6,75864,0
1367,Torrance  City of,-118.3345,33.83254,South Coast,12,7,75880,0
1155,Golden State Water Company West Orange,-118.0379,33.80549,South Coast,12,7,76086,0
1371,Truckee-Donner Public Utilities District,-120.2055,39.34468,North Lahontan,12,3,76423,0
1239,Napa  City of,-122.3052,38.3026,San Francisco Bay,12,7,76650,0
1191,Lakewood  City of,-118.131,33.84845,South Coast,12,6,76687,0
1342,Seal Beach  City of,-118.071,33.75413,South Coast,8,16,76959,0
1383,Valley Center Municipal Water District,-117.0537,33.24633,South Coast,13,6,77047,0
1356,Suburban Water Systems Whittier/La Mirada,-118.0087,33.94662,South Coast,13,7,77214,0
1260,Padre Dam Municipal Water District,-116.8772,32.84469,South Coast,12,6,77286,0
1137,Glendora  City of,-117.8482,34.13531,South Coast,11,6,77725,0
1403,"Windsor, Town of",-122.8025,38.54319,North Coast,13,6,78186,0
1228,Monrovia  City of,-117.9909,34.16632,South Coast,13,6,78188,0
1296,Ripon  City of,-121.131,37.74171,San Joaquin River,14,5,78467,0
1331,Santa Barbara  City of,-119.709,34.43152,Central Coast,11,8,78544,0
1061,California-American Water Company Monterey District,-121.8508,36.56126,Central Coast,11,10,78701,0
1095,Daly City  City of,-122.4687,37.68613,San Francisco Bay,11,6,78831,0
1094,Cucamonga Valley Water District,-117.5649,34.1243,South Coast,13,3,79062,0
1156,Goleta Water District,-119.8418,34.44641,Central Coast,8,7,79117,0
1357,Suisun-Solano Water Authority,-121.9487,38.374,San Francisco Bay,13,5,79199,0
1112,El Dorado Irrigation District,-120.8238,38.71056,Sacramento River,11,7,79737,0
1369,Tracy  City of,-121.436,37.73409,San Joaquin River,16,3,79910,0
1302,Roseville  City of,-121.2929,38.76253,Sacramento River,14,7,79956,0
1181,Jurupa Community Service District,-117.5164,33.99102,South Coast,17,3,80097,0
1286,Rancho California Water District,-117.1619,33.51246,South Coast,14,5,80201,0
1270,Petaluma  City of,-122.6276,38.24342,San Francisco Bay,13,7,80706,0
1277,Placer County Water Agency,-121.1122,38.87659,Sacramento River,14,6,80741,0
1338,Santa Monica  City of,-118.4813,34.02291,South Coast,8,7,80835,0
1379,Vacaville  City of,-121.9743,38.35714,Sacramento River,12,5,80972,0
1359,Sunnyslope County Water District,-121.3674,36.8336,Central Coast,14,5,81016,0
1089,Corona  City of,-117.5771,33.85928,South Coast,15,4,81249,0
1244,Norco  City of,-117.5495,33.9246,South Coast,12,4,81518,0
1142,Golden State Water Company Claremont,-117.7185,34.12657,South Coast,11,7,81959,0
1105,East Bay Municipal Utilities District,-122.1672,37.84269,San Francisco Bay,12,6,81960,0
1128,Fountain Valley  City of,-117.9497,33.71051,South Coast,10,7,82042,0
1100,Diablo Water District,-121.7087,37.993,San Joaquin River,15,4,82239,0
1186,La Verne  City of,-117.7688,34.12135,South Coast,11,7,82369,0
1348,Soquel Creek Water District,-121.9107,36.978,Central Coast,10,7,82430,0
1152,Golden State Water Company San Dimas,-117.8211,34.09376,South Coast,11,7,82554,0
1327,San Lorenzo Valley Water District,-122.1194,37.14946,Central Coast,10,4,82742,0
1246,North Marin Water District,-122.6535,38.11485,San Francisco Bay,12,8,83012,0
1266,Pasadena  City of,-118.1317,34.15629,South Coast,11,7,83206,0
1010,Arcadia  City of,-118.038,34.13647,South Coast,10,8,83239,0
1352,South Pasadena  City of,-118.1564,34.11024,South Coast,11,6,83456,0
1185,La Palma  City of,-118.0404,33.85084,South Coast,9,7,83535,0
1307,Sacramento County Water Agency,-121.286,38.50004,Sacramento River,15,3,83568,0
1198,Lincoln Avenue Water Company,-118.1504,34.20238,South Coast,13,5,83788,0
1135,Gilroy  City of,-121.5848,37.00441,Central Coast,16,4,84266,0
1314,San Clemente  City of,-117.6162,33.4441,South Coast,17,4,84384,0
1318,San Francisco Public Utilities Commission,-122.4412,37.75531,San Francisco Bay,8,7,84663,0
1400,Western Municipal Water District of Riverside,-117.3829,33.82293,South Coast,13,4,84804,0
1255,Orange  City of,-117.8368,33.80582,South Coast,12,5,85324,0
1258,Otay Water District,-116.9235,32.66964,South Coast,13,5,85504,0
1114,El Segundo  City of,-118.4018,33.92379,South Coast,10,5,85558,0
1087,Contra Costa Water District,-121.999,37.96446,San Francisco Bay,12,6,85982,0
1393,Walnut Valley Water District,-117.8349,34.00679,South Coast,9,5,86178,0
1074,Cerritos  City of,-118.0676,33.86793,South Coast,10,7,86333,0
1375,Tustin  City of,-117.8135,33.74886,South Coast,14,5,86638,0
1326,San Juan Water District,-121.1906,38.73911,Sacramento River,10,6,86791,0
1285,Ramona Municipal Water District,-116.8905,33.02134,South Coast,12,5,86804,0
1092,Crescenta Valley Water District,-118.2377,34.22653,South Coast,12,6,87279,0
1068,Carlsbad Municipal Water District,-117.2923,33.13339,South Coast,12,9,87369,0
1116,Elk Grove Water Service,-121.3551,38.41549,Sacramento River,12,6,87374,0
1312,San Bruno  City of,-122.4316,37.62519,San Francisco Bay,11,7,87708,0
1173,Huntington Beach  City of,-118.0009,33.69664,South Coast,10,7,87800,0
1218,Martinez  City of,-122.1212,37.99588,San Francisco Bay,11,6,88042,0
1153,Golden State Water Company Simi Valley,-118.729,34.27205,South Coast,12,4,89217,0
1143,Golden State Water Company Cordova,-121.387,38.59212,Sacramento River,15,7,89628,0
1316,San Dieguito Water District,-117.2821,33.04937,South Coast,12,8,91084,0
1023,Benicia  City of,-122.153,38.07237,San Francisco Bay,11,5,91259,0
1072,Castaic Lake Water Agency Santa Clarita Water Division,-118.5617,34.44101,South Coast,13,4,91814,0
1029,Brentwood  City of,-121.7185,37.93797,San Joaquin River,14,5,92175,0
1065,Camarillo  City of,-119.047,34.22612,South Coast,13,8,92283,0
1195,Lee Lake Water District,-117.4857,33.76944,South Coast,13,4,92518,0
1325,San Juan Capistrano  City of,-117.6551,33.4991,South Coast,14,8,92528,0
1028,Brea  City of,-117.8411,33.92752,South Coast,12,6,93353,0
1399,Westborough Water District,-122.4583,37.6442,San Francisco Bay,11,7,94005,0
1126,Folsom  City of,-121.1579,38.6785,Sacramento River,12,5,94449,0
1024,Beverly Hills  City of,-118.3993,34.07896,South Coast,8,10,94527,0
1324,San Jose Water Company,-121.9087,37.29772,San Francisco Bay,13,5,94792,0
1241,Newhall County Water District,-118.5276,34.46811,South Coast,14,3,95064,0
1005,"American Canyon, City of",-122.2511,38.19718,San Francisco Bay,13,4,95775,0
